dataset_group,fold,evaluation,dataset,classifier,Macro_F1,Accuracy,Precision_macro,Recall_macro,ROC_AUC,inner_fold
covid,1,synthetic_only_internal_cv,Fixed_Anchor_medium_sep0.0_anchor0.5,XGBoost,0.3977272727272727,0.660377358490566,0.3645833333333333,0.4375,0.49615384615384617,3.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_medium_sep0.0_anchor0.5,CatBoost,0.4453488372093023,0.660377358490566,0.4409937888198757,0.4634615384615385,0.5461538461538462,4.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_medium_sep0.0_anchor0.5,XGBoost,0.39080459770114945,0.6415094339622641,0.3617021276595745,0.425,0.4634615384615385,4.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_medium_sep0.0_anchor0.5,CatBoost,0.5315656565656566,0.7358490566037735,0.5854166666666667,0.539423076923077,0.49807692307692314,5.0
covid,1,synthetic_only_internal_cv,Fixed_Anchor_medium_sep0.0_anchor0.5,XGBoost,0.4044943820224719,0.6792452830188679,0.3673469387755102,0.45,0.5576923076923077,5.0
covid,1,train_synthetic_test_real_cv,Fixed_Balanced_low_sep0.25_anchor0.25,CatBoost,0.4017857142857143,0.6716417910447762,0.36885245901639346,0.4411764705882353,0.5416666666666667,
covid,1,train_synthetic_test_real_cv,Fixed_Balanced_low_sep0.25_anchor0.25,XGBoost,0.4344954128440367,0.6567164179104478,0.4262452107279694,0.4528186274509804,0.5343137254901961,
covid,1,synthetic_only_internal_cv,Fixed_Balanced_low_sep0.25_anchor0.25,CatBoost,0.5055421686746988,0.6481481481481481,0.5084566596194503,0.5071428571428571,0.6107142857142858,1.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_low_sep0.25_anchor0.25,XGBoost,0.5304347826086957,0.6851851851851852,0.5444444444444444,0.5321428571428571,0.5892857142857143,1.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_low_sep0.25_anchor0.25,CatBoost,0.4571259609698403,0.6851851851851852,0.46734693877551026,0.4857142857142857,0.5446428571428571,2.0
